Movie_id,Title,Rating,TotalVotes,MetaCritic,Budget,Runtime,CVotesMale,CVotesFemale,Domestic,Worldwide,genre
10015,Disconnect (2012),7.6,65448,64,10000000.0,115 min,44411,12217,1436900,1436900.0,"Drama, Thriller, "
10023,Wreck-It Ralph (2012),7.7,295125,72,165000000.0,,190983,50202,189422889,471222889.0,"Animation, Adventure, Comedy"
10099,Big Hero 6 (2014),7.8,315485,74,165000000.0,,187383,58731,222527828,657818612.0,"Animation, Action, Adventure"
10454,The Avengers (2012),8.1,1056773,69,220000000.0,143 min,691783,151617,623357910,1518812988.0,"Action, Sci-Fi, "
10617,Bridge of Spies (2015),7.6,223756,81,40000000.0,142 min,152707,23978,72313754,165478348.0,"Drama, History, Thriller"
11173,Hidden Figures (2016),7.8,111357,74,25000000.0,127 min,58466,26503,169387004,235345861.0,"Biography, Drama, History"
11289,Guardians of the Galaxy (2014),8.1,778220,76,170000000.0,121 min,491689,101957,333176600,773328629.0,"Action, Adventure, Sci-Fi"
11928,Rush (2013),8.1,345486,75,38000000.0,123 min,246354,35289,26947624,90247624.0,"Action, Biography, Drama"
11971,Django Unchained (2012),8.4,1056822,81,100000000.0,165 min,695211,139226,162805434,425368238.0,"Drama, Western, "
12164,Fury (2014),7.6,337571,64,68000000.0,134 min,238800,30746,85817906,211817906.0,"Action, Drama, War"
12560,Captain America: The Winter Soldier (2014),7.8,552706,70,170000000.0,136 min,360615,66751,259766572,714264267.0,"Action, Adventure, Sci-Fi"
12744,Pride (2014),7.8,40577,79,,,23595,10096,1446634,7523634.0,"Biography, Comedy, Drama"
13277,Gone Girl (2014),8.1,649474,79,61000000.0,149 min,397571,113606,167767189,369330363.0,"Crime, Drama, Mystery"
13310,Moana (2016),7.7,142460,81,150000000.0,,76266,29532,248757044,643331111.0,"Animation, Adventure, Comedy"
13316,Midnight in Paris (2011),7.7,324479,81,17000000.0,,195745,81470,56817045,151119219.0,"Comedy, Fantasy, Romance"
13627,Sicario (2015),7.6,250849,82,30000000.0,121 min,178321,21448,46889293,84872444.0,"Action, Crime, Drama"
14813,Straight Outta Compton (2015),7.9,144011,72,28000000.0,147 min,96591,14262,161197785,201634991.0,"Biography, Drama, History"
14867,Amour (2012),7.9,76121,94,8900000.0,127 min,49808,16719,6739492,19839492.0,"Drama, Romance, "
17294,Silver Linings Playbook (2012),7.8,570344,81,21000000.0,122 min,338051,131000,132092958,236412453.0,"Comedy, Drama, Romance"
17545,Warrior (2011),8.2,361049,71,25000000.0,140 min,270734,31075,13657115,23057115.0,"Action, Drama, Sport"
18458,Lone Survivor (2013),7.5,222343,,40000000.0,121 min,163657,17260,125095601,154802912.0,"Action, Biography, Drama"
18506,Deadpool (2016),8.0,652127,65,58000000.0,108 min,391955,79804,363070709,783112979.0,"Action, Adventure, Comedy"
20341,Dawn of the Planet of the Apes (2014),7.6,349646,79,170000000.0,130 min,250421,32032,208545589,710644566.0,"Action, Adventure, Drama"
20420,Tucker and Dale vs Evil (2010),7.6,138624,65,5000000.0,,106144,15113,223838,4749516.0,"Comedy, Horror, "
20709,Tyrannosaur (2011),7.6,26016,65,1000000.0,,19827,3649,22321,22321.0,"Drama, , "
21411,Harry Potter and the Deathly Hallows: Part 1 (2010),7.7,363226,65,250000000.0,146 min,223868,79506,295983305,960283305.0,"Adventure, Family, Fantasy"
21508,End of Watch (2012),7.7,194675,68,7000000.0,109 min,147679,17678,41003371,48126384.0,"Crime, Drama, Thriller"
21538,The Big Short (2015),7.8,254317,81,28000000.0,130 min,167875,31804,70259870,133440870.0,"Biography, Comedy, Drama"
21768,Her (2013),8.0,398431,90,23000000.0,126 min,252724,72611,25568251,47351251.0,"Drama, Romance, Sci-Fi"
22401,The Grand Budapest Hotel (2014),8.1,541526,88,25000000.0,99 min,332149,96997,59301324,174801324.0,"Adventure, Comedy, Drama"
22607,Drive (2011),7.8,467642,78,15000000.0,100 min,336319,64201,35060689,76175166.0,"Crime, Drama, "
22767,Manchester by the Sea (2016),7.9,150266,96,8500000.0,137 min,92452,22834,47695371,77540122.0,"Drama, , "
23417,Philomena (2013),7.6,81855,77,12000000.0,98 min,49275,20366,37709979,100129872.0,"Biography, Drama, "
23450,Hugo (2011),7.5,261953,83,150000000.0,126 min,179655,47795,73864507,185770160.0,"Adventure, Drama, Family"
23963,Hunt for the Wilderpeople (2016),7.9,56964,81,2500000.0,,37495,7737,5205468,5205468.0,"Adventure, Comedy, Drama"
24887,The Martian (2015),8.0,569347,80,108000000.0,144 min,359265,71421,228433663,630161890.0,"Adventure, Drama, Sci-Fi"
25281,Birdman or (The Unexpected Virtue of Ignorance) (2014),7.8,448725,88,18000000.0,119 min,292808,63310,42340598,103215094.0,"Comedy, Drama, "
25398,Before Midnight (2013),7.9,106553,94,3000000.0,109 min,67076,23823,8114627,11176469.0,"Drama, Romance, "
26118,Kubo and the Two Strings (2016),7.8,78588,84,60000000.0,,50701,10485,48023088,69929545.0,"Animation, Adventure, Family"
26438,Scott Pilgrim vs. the World (2010),7.5,297633,69,60000000.0,112 min,208417,45718,31524275,47664559.0,"Action, Comedy, Romance"
27783,X-Men: Days of Future Past (2014),8.0,560736,74,200000000.0,132 min,370835,71008,233921534,747862775.0,"Action, Adventure, Sci-Fi"
28130,The Girl with the Dragon Tattoo (2011),7.8,352566,71,90000000.0,158 min,240171,62813,102515793,232617430.0,"Crime, Drama, Mystery"
28910,Spotlight (2015),8.1,279211,93,20000000.0,128 min,173290,43313,45055776,88346473.0,"Crime, Drama, History"
28919,Star Trek Into Darkness (2013),7.8,421473,72,190000000.0,132 min,293195,54871,228778661,467381469.0,"Action, Adventure, Sci-Fi"
29419,The Dark Knight Rises (2012),8.4,1240780,78,250000000.0,164 min,842343,143070,448139099,1084939099.0,"Action, Thriller, "
29441,The Revenant (2015),8.0,512526,76,135000000.0,156 min,323938,61051,183637894,532950503.0,"Adventure, Drama, Thriller"
29611,"I, Daniel Blake (2016)",7.9,28350,78,,,18739,4275,260354,260354.0,"Drama, , "
29635,Moonrise Kingdom (2012),7.8,258231,84,16000000.0,94 min,164811,53362,45512466,68263166.0,"Adventure, Comedy, Drama"
30114,127 Hours (2010),7.6,297075,82,18000000.0,94 min,212866,44600,18335230,60738797.0,"Adventure, Biography, Drama"
30146,Me and Earl and the Dying Girl (2015),7.8,94563,74,8000000.0,105 min,57403,18413,6758416,9074749.0,"Comedy, Drama, "
30154,Short Term 12 (2013),8.0,63459,82,1000000.0,,40594,12108,1013100,1013100.0,"Drama, , "
30161,Ex Machina (2014),7.7,348550,78,15000000.0,108 min,237599,41160,25442958,36869414.0,"Drama, Mystery, Sci-Fi"
30250,The Hobbit: The Desolation of Smaug (2013),7.9,520084,66,225000000.0,161 min,343498,74772,258366855,958366855.0,"Adventure, Fantasy, "
30401,Gravity (2013),7.8,630890,96,100000000.0,91 min,427135,87618,274092705,723192705.0,"Drama, Sci-Fi, Thriller"
31069,La La Land (2016),8.2,290330,93,30000000.0,128 min,157693,56713,151101803,445669679.0,"Comedy, Drama, Music"
31332,Doctor Strange (2016),7.6,328932,72,165000000.0,115 min,202386,42203,232641920,677718395.0,"Action, Adventure, Fantasy"
31370,Captain Fantastic (2016),7.9,115194,72,5000000.0,,71760,19138,5879736,5879736.0,"Comedy, Drama, "
31592,The Perks of Being a Wallflower (2012),8.0,382665,67,13000000.0,102 min,202178,108832,17742948,33384127.0,"Drama, Romance, "
31722,Arrival (2016),8.0,370842,81,47000000.0,116 min,237437,46272,100546139,203388186.0,"Drama, Mystery, Sci-Fi"
32217,Zootopia (2016),8.1,309474,78,150000000.0,108 min,176202,52345,341268248,1023784195.0,"Animation, Adventure, Comedy"
32701,The Town (2010),7.6,297426,74,37000000.0,125 min,226697,31345,92186262,154026136.0,"Crime, Drama, Thriller"
33832,Argo (2012),7.7,486840,86,44500000.0,120 min,334838,67910,136025503,232325503.0,"Action, Biography, Drama"
33884,Edge of Tomorrow (2014),7.9,480513,71,178000000.0,113 min,341199,45790,100206256,370541256.0,"Action, Adventure, Sci-Fi"
34073,Nightcrawler (2014),7.9,340717,76,8500000.0,118 min,235721,38888,32381217,38697217.0,"Crime, Drama, Thriller"
34191,Dallas Buyers Club (2013),8.0,357641,84,5000000.0,117 min,231258,63266,27298285,55198285.0,"Biography, Drama, "
34386,The Artist (2011),7.9,201344,89,15000000.0,100 min,133682,40741,44671682,133432856.0,"Comedy, Drama, Romance"
34429,The Help (2011),8.1,347299,62,25000000.0,146 min,173908,115762,169708112,216639112.0,"Drama, , "
35004,The Wolf of Wall Street (2013),8.2,881984,75,100000000.0,180 min,559564,123698,116900694,392000694.0,"Biography, Comedy, Crime"
35832,The King's Speech (2010),8.0,540240,88,15000000.0,118 min,339153,108830,135453143,414211549.0,"Biography, Drama, "
35939,What We Do in the Shadows (2014),7.6,87975,76,1600000.0,,57028,15840,3469224,6263224.0,"Comedy, Horror, "
36011,Shutter Island (2010),8.1,871391,63,80000000.0,138 min,570554,136360,128012934,294804195.0,"Mystery, Thriller, "
36478,Mad Max: Fury Road (2015),8.1,649540,90,150000000.0,120 min,424435,69670,153636354,378858340.0,"Action, Adventure, Sci-Fi"
36798,Boyhood (2014),7.9,290327,100,4000000.0,165 min,183807,51558,25352281,44495281.0,"Drama, , "
36809,12 Years a Slave (2013),8.1,496092,96,20000000.0,134 min,313823,82012,56671993,187733202.0,"Biography, Drama, History"
37367,50/50 (2011),7.7,283935,72,8000000.0,100 min,188925,58348,35014192,39187783.0,"Comedy, Drama, Romance"
37652,How to Train Your Dragon 2 (2014),7.9,240983,76,145000000.0,,147074,45334,177002924,621537519.0,"Animation, Action, Adventure"
37979,Prisoners (2013),8.1,441037,74,46000000.0,153 min,297561,59221,61002302,122126687.0,"Crime, Drama, Mystery"
38131,Creed (2015),7.6,179795,82,35000000.0,133 min,126214,13323,109767581,173567581.0,"Drama, Sport, "
38262,Whiplash (2014),8.5,492285,88,3300000.0,107 min,308900,71066,13092000,48982041.0,"Drama, Music, "
38626,Star Wars: The Force Awakens (2015),8.1,676732,81,245000000.0,136 min,425971,68664,936662225,2068223624.0,"Action, Adventure, Fantasy"
38960,Despicable Me (2010),7.7,417592,72,69000000.0,,251408,91545,251513985,543113985.0,"Animation, Adventure, Comedy"
39456,The Social Network (2010),7.7,516417,95,40000000.0,120 min,351608,84711,96962694,224920315.0,"Biography, Drama, "
39777,The Book Thief (2013),7.6,107880,,19000000.0,131 min,59365,29422,21488481,76586316.0,"Drama, War, "
40287,The Theory of Everything (2014),7.7,305145,72,15000000.0,123 min,174408,67669,35893537,123726688.0,"Biography, Drama, Romance"
40310,The Little Prince (2015),7.8,40777,70,81200000.0,108 min,22441,9552,1339152,97571250.0,"Animation, Adventure, Drama"
40832,Toy Story 3 (2010),8.3,596385,92,200000000.0,103 min,389014,98386,415004880,1066969703.0,"Animation, Adventure, Comedy"
41048,Sing Street (2016),8.0,56066,79,4000000.0,,34349,8738,3237118,13624522.0,"Comedy, Drama, Music"
41512,Les Misİrables (2012),7.6,260178,63,61000000.0,158 min,141014,73591,148809770,441809770.0,"Drama, Musical, Romance"
41592,Rise of the Planet of the Apes (2011),7.6,434037,68,90000000.0,,320581,47940,176760185,481801049.0,"Action, Drama, Sci-Fi"
41835,The Hobbit: An Unexpected Journey (2012),7.9,675678,,180000000.0,169 min,445566,104340,303003568,1021103568.0,"Adventure, Fantasy, "
41963,The Hunger Games: Catching Fire (2013),7.6,531466,76,130000000.0,146 min,307237,115421,424668047,865011746.0,"Action, Adventure, Mystery"
42294,X-Men: First Class (2011),7.8,556713,65,160000000.0,132 min,382107,80444,146408305,353624124.0,"Action, Adventure, Sci-Fi"
42419,Tangled (2010),7.8,321593,71,260000000.0,,166088,97213,200821936,591794936.0,"Animation, Adventure, Comedy"
42727,The Fault in Our Stars (2014),7.8,276272,69,12000000.0,126 min,128951,83384,124872350,307166834.0,"Drama, Romance, "
42732,Inside Out (2015),8.2,430229,94,175000000.0,95 min,244433,79081,356461711,857611174.0,"Animation, Adventure, Comedy"
43350,Nebraska (2013),7.7,97059,86,12000000.0,115 min,70069,13162,17654912,27682872.0,"Adventure, Comedy, Drama"
43358,Black Swan (2010),8.0,587893,79,13000000.0,108 min,356707,143077,106954678,329398046.0,"Drama, Thriller, "
43526,Detachment (2011),7.7,62352,,,,40924,13291,72689,72689.0,"Drama, , "
44160,The Fighter (2010),7.8,292823,79,25000000.0,116 min,220445,31021,93617009,129190869.0,"Action, Biography, Drama"
44253,Rogue One (2016),7.9,349210,65,200000000.0,133 min,229114,32521,532177324,1056057273.0,"Action, Adventure, Sci-Fi"
44316,True Grit (2010),7.6,257670,80,38000000.0,110 min,197105,27125,171243005,252276927.0,"Adventure, Drama, Western"
44738,Hell or High Water (2016),7.7,125026,88,12000000.0,102 min,88398,10427,27007844,37879877.0,"Crime, Drama, Thriller"
45231,Kick-Ass (2010),7.7,461860,66,30000000.0,117 min,336585,57638,48071303,96188903.0,"Action, Comedy, "
45458,The Imitation Game (2014),8.1,540489,73,14000000.0,114 min,328283,92724,91125683,233555708.0,"Biography, Drama, Thriller"
46824,Inception (2010),8.8,1609713,74,160000000.0,148 min,1044318,239796,292576195,825532764.0,"Action, Adventure, Sci-Fi"
46900,Interstellar (2014),8.6,1075163,74,165000000.0,169 min,682280,128771,188020017,675120017.0,"Adventure, Drama, Sci-Fi"
47074,The Lego Movie (2014),7.8,271515,83,60000000.0,100 min,180122,37351,257760692,469160692.0,"Animation, Action, Adventure"
47323,Skyfall (2012),7.8,552367,81,200000000.0,143 min,391158,65929,304360277,1108561013.0,"Action, Adventure, Thriller"
47403,Hacksaw Ridge (2016),8.2,244314,71,40000000.0,139 min,156398,26285,67209615,175302354.0,"Biography, Drama, History"
47579,Kingsman: The Secret Service (2014),7.7,450500,,81000000.0,129 min,285835,64396,128261724,414351546.0,"Action, Adventure, Comedy"
47616,Lion (2016),8.1,123032,69,12000000.0,118 min,68921,24977,51728731,140302754.0,"Biography, Drama, "
48102,How to Train Your Dragon (2010),8.1,532296,74,165000000.0,,327837,105104,217581231,494878759.0,"Animation, Action, Adventure"
48554,Moneyball (2011),7.6,300199,87,50000000.0,133 min,222663,34888,75605492,110206216.0,"Biography, Drama, Sport"
48626,Captain Phillips (2013),7.8,350818,83,55000000.0,134 min,247889,41602,107100855,218791811.0,"Biography, Drama, Thriller"
49473,About Time (2013),7.8,225412,,12000000.0,123 min,126718,58098,15322921,87100449.0,"Comedy, Drama, Fantasy"
49518,Flipped (2010),7.7,66461,,14000000.0,,33714,22540,1755212,1755212.0,"Comedy, Drama, Romance"
49590,Captain America: Civil War (2016),7.9,431555,75,250000000.0,147 min,264239,43818,408084349,1153304495.0,"Action, Adventure, Sci-Fi"
